question,answer,topic
What is CI/CD?,"A method to frequently deliver apps to customers by introducing automation into the stages of app development. The main concepts are continuous integration, continuous delivery, and continuous deployment.",software engineering
What are some deployment mistakes?,"    1. Assume everything will work
    2. Have no rollback plan
    3. Allow insufficient time
    4. Don’t know when to surrender
    5. Skip staging
    6. Install lots of updates all at once
    7. Use an unstable environment
    8. Set an early point of no return",software engineering
What is declarative programming?,"A method to abstract away the control flow for logic required for software to perform an action, and instead involves stating what the task or desired outcome is.",software engineering
What is imperative programming?,A software development paradigm where functions are implicitly coded in every step required to solve a problem.,software engineering
What is statistics?,"    1. A subject or discipline
    
    2. The methods for interpreting data
    
    3. Collections of data gathered by those methods
    
    4. Specifically calculated figures",statistics
What is a distribution?,"A collection of data, or scores, on a variable.",statistics
What is the paradox of sampling?,"A sample is misleading unless it is representative of the population. But how do we know if it’s representative unless we already know what we need to know about the population, and therefore have no need of samples!",statistics
What is a variable?,The data points which vary across a distribution.,statistics
What is a continuous variable?,"A variable where if given two values it is always possible to imagine more possible values between them. For example, price is a continuous variable, and so is weight.",statistics
What is a discrete variable?,"A variable whose possible numerical values are separate from one another. For example, you can’t have 2.5 gears so number of gears is a discrete variable.",statistics
What is a nominal vs numerical variable?,"Nominal: Category variables like Brand of bicycle
    
    Numerical: Number variables like weight of bicycle",statistics
How is the statistical significance of an insight assessed?,"Hypothesis testing is used to find out the statistical significance of the insight. To elaborate, the null hypothesis and the alternate hypothesis are stated, and the p value is calculated. After calculating the p value, the null hypothesis is assumed true, and the values are determined. To fine tune the result, the alpha value, which denotes the significance, is tweaked. If the p value turns out to be less than the alpha, then the null hypothesis is rejected. This ensures that the result obtained is statistically significant.",statistics
Where are long tailed distributions used?,"A type of distribution where the tail drops off gradually toward the end of the curve. The Pareto principle and the product sales distribution are good examples to denote the use of long tailed distributions. Also, it is widely used in classification and regression problems.",statistics
What is the central limit theorem?,"States that if you have a population with mean μ and standard deviation σ and take sufficiently large random samples from the population with replacement , then the distribution of the sample means will be approximately normally distributed.
    
     This central limit theorem is the key because it is widely used in performing hypothesis testing and also to calculate the confidence intervals accurately.",statistics
What is observational data?,"Data that correlates to the data that is obtained from observational studies, where variables are observed to see if there is any correlation between them.",statistics
What is experimental data?,"Data is derived from experimental studies, where certain variables are held constant to see if any discrepancy is raised in the working.",statistics
What is an outlier?,"Data points that vary in a large way when compared to other observations in the dataset. Depending on the learning process, an outlier can worsen the accuracy of a model and decrease its efficiency sharply. Outliers are determined by using two methods:
    
    Standard deviation/z score
    Interquartile range (IQR)",statistics
How is missing data handled in statistics?,"    
    Prediction of the missing values
    Assignment of individual (unique) values
    Deletion of rows, which have the missing data
    Mean imputation or median imputation
    Using random forests, which support the missing values",statistics
What is exploratory data analysis?,"The process of performing investigations on data to understand the data better. In this, initial investigations are done to determine patterns, spot abnormalities, test hypotheses, and also check if the assumptions are right.",statistics
What is the meaning of selection bias?,"A phenomenon that involves the selection of individual or grouped data in a way that is not considered to be random. Randomization plays a key role in performing analysis and understanding model functionality better. If correct randomization is not achieved, then the resulting sample will not accurately represent the population.",statistics
What is the meaning of an inlier?,"A data point that lies at the same level as the rest of the dataset. Finding an inlier in the dataset is difficult when compared to an outlier as it requires external data to do so. Inliers, similar to outliers reduce model accuracy. Hence, even they are removed when they’re found in the data. This is done mainly to maintain model accuracy at all times.",statistics
When is the median a better measure when compared to the mean?,"In the case where there are a lot of outliers that can positively or negatively skew data, the median is preferred as it provides an accurate measure in this case of determination.",statistics
What is the Pareto principle?,"The Pareto principle is also called the 80/20 rule, which means that 80 percent of the results are obtained from 20 percent of the causes in an experiment. A simple example of the Pareto principle is the observation that 80 percent of peas come from 20 percent of pea plants on a farm.",statistics
What are quantitative data and qualitative data?,"Quantitative data is also known as numeric data.
    Qualitative data is also known as categorical data.",statistics
What is the mean?,The average of a collection of values. We can calculate the mean by dividing the sum of all observations by the number of observations.,statistics
What is standard deviation?,"Represents the magnitude of how far the data points are from the mean. A low value of standard deviation is an indication of the data being close to the mean, and a high value indicates that the data is spread to extreme ends, far away from the mean.",statistics
What is skewness?,"Measures the lack of symmetry in a data distribution. It indicates that there are significant differences between the mean, the mode, and the median of data. Skewed data cannot be used to create a normal distribution.",statistics
What is correlation?,Used to test relationships between quantitative variables and categorical variables.,statistics
What are left skewed and right skewed distributions?,"A left skewed distribution is one where the left tail is longer than that of the right tail. Here, it is important to note that the mean < median < mode. Similarly, a right skewed distribution is one where the right tail is longer than the left one. But, here mean > median > mode.",statistics
What is the difference between Descriptive and Inferential Statistics?,"Descriptive Statistics: Descriptive statistics is used to summarize a sample set of data like the standard deviation or the mean. 
    
    Inferential statistics: Inferential statistics is used to draw conclusions from the test data that are subjected to random variations. Eg. P value",statistics
What are the types of sampling in Statistics?,"    Simple random: Pure random division
    Cluster: Population divided into clusters
    Stratified: Data divided into unique groups
    Systematical: Picks up every ‘n’ member in the data",statistics
What is the meaning of covariance?,The measure of indication when two items vary together in a cycle. The systematic relation is determined between a pair of random variables to see if the change in one will affect the other variable in the pair or not.,statistics
What is the relationship between the confidence level and the significance level in statistics?,The probability of obtaining a result that is extremely different from the condition where the null hypothesis is true. While the confidence level is used as a range of similar values in a population. Both significance and confidence level are related by the following formula: Significance level = 1 − Confidence level,statistics
"In a scatter diagram, what is the vertical line that is drawn above or below the regression line called?",The line that is drawn above or below the regression line in a scatter diagram is called the residual or also the prediction error.,statistics
What are the examples of symmetric distribution?,"    1. Uniform distribution
    2. Binomial distribution
    3. Normal distribution",statistics
What is the relationship between mean and median in a normal distribution?,"In a normal distribution, the mean is equal to the median. To know if the distribution of a dataset is normal, we can just check the dataset’s mean and median.",statistics
"What is the difference between the Ist quartile, the IInd quartile, and the IIIrd quartile?","Quartiles are used to describe the distribution of data by splitting data into three equal portions, and the boundary or edge of these portions are called quartiles. That is, The lower quartile (Q1) is the 25th percentile.
    The middle quartile (Q2), also called the median, is the 50th percentile.
    The upper quartile (Q3) is the 75th percentile.",statistics
What is one sample t test?,A statistical hypothesis test in which we check if the mean of the sample data is statistically or significantly different from the population’s mean.,statistics
What is a null hypothesis?,A type of statistical hypothesis that proposes that no statistical significance exists in a set of given observations.,statistics
What is an alternative hypothesis?,Opposite of null hypothesis. States that there is a statistical significance between two variables.,statistics
What is statistical significance?,"When the p value is less than this significance level. In other words, a result has statistical significance when it is very unlikely to have occurred given the null hypothesis.",statistics
What is a Type 1 error?,"You say something is when it isn’t, eg. calling a man pregnant. In other words, you reject the null hypothesis when it’s true. You’re saying there is a statistically significant difference when there isn’t one.",statistics
What is a Type 2 error?,"You say something isn’t when it is, eg. telling a pregnant woman that she isn’t. In other words, you accept the null hypothesis when it’s false. You’re saying there isn’t a statistically significant difference when there is.",statistics
What is a Type 3 error?,"Where you correctly reject the null hypothesis, but it’s rejected for the wrong reason.",statistics
What is a one taill test?,A significance test that results from an alternative hypothesis which specifies a direction.,statistics
What is a two tail test?,A significance test that results from an alternative hypothesis which does not specify a direction. i.e. when the alternative hypothesis states that the null hypothesis is wrong.,statistics
What is a t statistic?,An inferential statistic used to determine if there is a significant difference between the means of two groups.,statistics
What is a T statistic or T value?,"A ratio of the difference between the mean of the two sample sets and the variation that exists within the sample sets.
    
    You then take your T value and use a t distribution to get a p value.",statistics
What is a chi squared test?,"The distribution of a categorical variable in a sample often needs to be compared with the distribution of a categorical variable in another sample.
    
    Usually for comparing differences between two categorical variables in a population. For example, proportion of women vs men who go to the gym. Eg. checking if more men go to the gym.",statistics
What is ANOVA?,"A way to find out if survey or experiment results are significant. In other words, they help you to figure out if you need to reject the null hypothesis or accept the alternate hypothesis.",statistics
What is an F test?,"Any test that uses the F distribution.
    
    If for instance, if the samples have exactly the same standard deviations but their sample means are completely different, then most likely they came from different populations. To quantify the dispersion of the sample means we use the standard deviation.
    
    So we are comparing the sample standard deviation to the standard deviation of the means of the samples (standard error). We are comparing the variability of values within groups with the variability of values between groups.",statistics
What is an F statistic?,Statistic used when deciding to support or reject the null hypothesis.,statistics
What are the types of biases that we encounter while sampling?,"    The survivorship bias
    The undercoverage bias",statistics
What are the scenarios where outliers are kept in the data?,"    
    Results are critical
    Outliers add meaning to the data
    The data is highly skewed",statistics
"When creating a statistical model, how do we detect overfitting?","Overfitting can be detected by cross validation. In cross validation, we divide the available data into multiple parts and iterate on the entire dataset. In each iteration, one part is used for testing, and others are used for training. This way, the entire dataset will be used for training and testing purposes, and we can detect if the data is being overfitted.",statistics
What is a survivorship bias?,The flaw of the sample selection that occurs when a dataset only considers the ‘surviving’ or existing observations and fails to consider those observations that have already ceased to exist.,statistics
What is an undercoverage bias?,A bias that occurs when some members of the population are inadequately represented in the sample.,statistics
What is the relationship between standard deviation and variance?,"The square root of variance. Basically, standard deviation takes a look at how the data is spread out from the mean. On the other hand, standard variance is used to describe how much the data varies from the mean of the entire dataset.",statistics
What is a discrete vs continuous distribution?,"Discrete: is **a distribution of data in statistics that has discrete values.**
    
    Continuous: **A probability distribution in which the random variable X can take on any value (continuous variable).**",statistics
What is a normal distribution?,"    
    Key characteristics:
    
      The curve is symmetric at the center, which means it can be divided into two even sections around the mean.
      The area under the distribution curve is equal to one.",statistics
What is a binomial distribution?,"A probability distribution with the following conditions:
    
    1. It is made of independent trials.
    2. Each trial can be classified as either success or failure, where the probability of success is p while the probability of failure is 1 p.
    3. It has a fixed number of trials (n).
    4. The probability of success in each trial is constant.",statistics
What is a uniform distribution?,"Also called a rectangular distribution, is a probability distribution that has a constant probability, such as flipping a coin or rolling dice.",statistics
What is a Poisson distribution?,"A discrete distribution that gives the probability of the number of independent events occurring in a fixed time. An example of when you would use this is if you want to determine the likelihood of X patients coming into a hospital in a given hour.
    
    The mean and variance are both equal to λ.",statistics
What is Baye’s Theorem?,"**P(A ∣ B) = P(B ∣ A)P(A) / P(B)**
    
    A first, A last! Switch the order on the top.",statistics
What is a z test?,A hypothesis test with a normal distribution that uses a **z statistic**. Used when you know the population variance or if you don’t know the population variance but have a large sample size.,statistics
What is p hacking?,Refers to when one manipulates his/her data collection or analysis until non significant results become significant. This includes deciding mid test to not collect anymore data.,statistics
What is the empirical rule?,"States that if a dataset is normally distributed, 68% of the data will fall within one standard deviation, 95% of the data will fall within two standard deviations, and 99.7% of the data will fall within 3 standard deviations.",statistics
What is a combination?,The number of ways to choose r out of n objects where order doesn’t matter.,statistics
What is a permutation?,Any arrangement of n elements in a definite order.,statistics
What is the Law of Large Numbers?,"A theory that states that as the number of trials increases, the average of the result will become closer to the expected value.
    
    Eg. flipping heads from fair coin 100,000 times should be closer to 0.5 than 100 times.",statistics
What are the assumptions required for linear regression?,"There are four major assumptions:
    
    1. There is a linear relationship between the dependent variables and the regressors, meaning the model you are creating actually fits the data
    2. The errors or residuals of the data are normally distributed and independent from each other
    3. There is minimal multicollinearity between explanatory variables
    4. Homoscedasticity. This means the variance around the regression line is the same for all values of the predictor variable.",statistics
What is interpolation?,A prediction made using inputs that lie within the set of observed values.,statistics
What is extrapolation?,"Extrapolation is when a prediction is made using an input that’s outside the set of observed values.
   ",statistics
What does autocorrelation mean?,When future outcomes depend on previous outcomes. The errors show a sequential pattern and the model is less accurate.,statistics
What are descriptive statistics?,"Used to describe the basic features of the data in a study. They provide simple summaries about the sample and the measures. Eg. averages, size of the dataset, range, standard deviation.",statistics
What is Pearson correlation?,A method used to measure the strength of a correlation between continuous numerical values.,statistics
What is a correlation coefficient?,"A measure of the strength of a correlation ranging from  1 (large negative) to 0 (no correlation) to 1 (strong positive). 
    
    Simply speaking if you plot your continuous variables and they lie on the same line, you have a strong correlation.",statistics
What is a p value?,"The probability of obtaining test results at least as extreme as the result actually observed, under the assumption that the null hypothesis is correct.",statistics
What are residuals?,The differences between actual values and predicted values.,statistics
What is a distribution plot?,It plots the distribution of predicted values against the distribution of actual values. You can use histograms for discrete values or a line plot representing the distribution for continuous variables.,statistics
What is polynomial regression?,Regression where the order of the independent variables is higher than one. Useful for variables with curvilinear relationships.,statistics
What is a pipeline?,"It's a pre processing technique that takes the different steps of model development and puts them into one step.
    
    For example, the following steps can be put into a pipeline:
    
      Normalisation
      Polynomial transform
      Linear Regression",statistics
What is the coefficient of determination (R^2)?,"Is a measure to determine how close the data is to the fitted regression line.
    
    In other words, it measures how well our regression model performs compared to a simple model (taking the mean of the data points as the predicted values)
    
    The formula is
    
    $R^2=(1 {MSE_{regression}}/{MSE_{mean}})$",statistics
What is ridge regression?,"It is a technique for reducing overfitting. A parameter, alpha, is selected before fitting or training the model and it controls the magnitude of the polynomial coefficients. This prevents the model doing crazy things when there are outlier points. The greater the alpha value the less overfitting you will see and if alpha is too big, you will see underfitting.",statistics
What is grid search?,"A way to iterate over hyperparameters like alpha, to quickly tune our parameters.",statistics
What is Data Science?,Involves drawing valuable insights from structured and unstructured data.,data science
What do Data Scientists do?,Someone with a unique blend of skills that can both unlock the insights of data and tell a fantastic story via the data.,data science
What skills do Data Scientists need?,"Excellent programming skills, a deep understanding of mathematics and statistics, as well as great business intuition and communication skills.",data science
What is Big Data?,"Large volumes of data created by people, tools and machines. Data has exploded in the last 20 years due to the increase in number of connected devices. To analyze and process this large quantity of data we need innovative technology.",data science
What are 2 tools used to analyze and process Big Data?,"    1. Apache Spark
    2. Apache Hadoop",data science
What is Hadoop?,Open source software utilities that used a network of computers to solve problems involving massive amounts of data and computation.,data science
What's the difference between Deep Learning and Machine Learning?,"Machine learning: When a computer learns using training data without being explicitly programmed.
    Deep learning: Machine learning which is based on neural networks.",data science
What's the difference between Data Science and Artificial Intelligence?,"Data Science: Process and method for extracting knowledge and insights from data.
    Artificial Intelligence: When machines solve problems and make intelligent decisions.
    Data Scientists may use AI to solve problems.",data science
What are the top three recommended programming languages for data scientists?,"    1. Python
    2. R
    3. SQL",data science
What are some examples of roles in Data Science?,"    1. Business Analyst
    2. Database Engineer
    3. Data Analyst
    4. Data Engineer
    5. Data Scientist
    6. Software Engineer
    7. Statistician",data science
What is one similarity and one difference between Python and R?,"Similarity: Both support collaboration
    
    Difference: Python is open source and R is free software",data science
What are two examples of professionals that use R?,"    1. Statisticians
    2. Mathematicians",data science
What does SQL stand for?,Structured Query Language,data science
What is SQL used for?,Managing and querying data in relational databases. It's the language used to interact with a database.,data science
What are the most widely used open source database management systems?,"Relational databases such as: MySQL
    NoSQL databases such as:MongoDB",data science
What is an example of an open source workflow management tool?,Apache Airflow,data science
What is an example of an open source data visualization tool?,Kibana,data science
What is an example of an open source version control (code asset management) tool?,"    1. Git
    2. GitHub
    3. GitLab",data science
What is an example of an open source development environment?,"    1. Jupyter
    2. Jupyter Lab",data science
What is an example of an open source cluster computing framework?,Apache Spark,data science
What are some examples of commercial database management systems?,"    1. Oracle Database
    2. Microsoft SQL Server
    3. IBM DB2",data science
What is an example of a commercial data visualization tool?,"    1. Tableau
    2. Looker
    3. Microsoft Power BI",data science
What are the three top cloud computing platforms?,"    1. Amazon Web Services
    2. Google Cloud Platform
    3. Microsoft Azure",data science
What are some examples of commonly used Python libraries?,"    1. Pandas
    2. Numpy
    3. Matplotlib
    4. Seaborn
    5. Scikit learn
    6. Keras
    7. TensorFlow
    8. PyTorch",data science
What does API stand for?,Application Programming Interface,information technology
What is a data set?,A structured collection of data.,data science
What is a CSV (Comma Separated Values) file?,A delimited text file where each line represents a row and data values.,information technology
What’s the trade off between bias and variance?,"Bias: Predictions are off by a fixed amount
    
    Variance: Predictions are spread out",machine learning
What are the three machine learning model classes?,"    1. Supervised learning
    2. Unsupervised learning
    3. Reinforcement learning",machine learning
What is supervised learning?,"A type of machine learning that uses labelled data to make predictions. Eg. decision trees, random forest, linear regression, logistic regression, gradient boost, support vector machines, KNN.",machine learning
What is unsupervised learning?,"Unsupervised learning is machine learning that uses unlabelled data. For example, K means clustering.",machine learning
What is the difference between an algorithm and a model?,"An “algorithm” in machine learning is a procedure that is run on data to create a machine learning “model"".",machine learning
What is KNN (K nearest neighbours)?,A supervised learning algorithm that aims to make predictions based on the average value of the K nearest neighbours to a data point.,machine learning
What is k-means clustering?,"An unsupervised learning algorithm. A value of k is given, k centroids are randomly created, a distance metric is specified, the dataset is divided into k groups, based on the distance to these centroids. New centroids are created based on the average centroid of each cluster, and the algorithm is repeated until the position of the centroids is unchanged.",machine learning
What is an ROC (Receiver operating characteristic) curve?,Used to show the true positive rate vs the false positive rate of a binary classifier with a varying threshold value.,machine learning
What is precision?,"TP/ all positives (aka Positive Predictive Value, PPV). True positives over all positive predictions",machine learning
What is recall?,Recall is the True Positive Rate (TP/ TP + FN) true positives over all correct predictions,machine learning
What is Bayes’ Theorem?,"Bayes’ Theorem gives you the posterior probability of an event given what is known as prior knowledge.
    
    prior knowledge = P(B|A)
    
    posterior probability = P(A|B)
    
    Bayes’ Theorem is the basis behind a branch of machine learning that most notably includes the Naive Bayes classifier.
    
    $$
    P(A|B)=\frac{P(B|A)*P(A)}{P(B)}
    $$",machine learning
Why is “naive” Bayes naive?,Naive Bayes implies the absolute independence of features in a dataset: a condition probably never met in real life.,machine learning
What is a random forest?,"A random forest is an ensemble model, it is created by constructing several decision trees and, in the case of a classification, the model will predict the class which is selected by most trees.",machine learning
"What is a test, train and validation data set?","Train dataset is used to create the model.
    
    Validations dataset is used to refine the model’s parameters
    
    Test dataset is used to provide an unbiased evaluation of a final model fit on the training data set",machine learning
How do you measure model performance?,"Confusion matrix (in the case of classification models)
    
    F1 score (for classification)
    
    ROC curve (For binary classification)
    
    Log loss
    
    Mean Absolute Error (MAE)
    
    Root Mean Squared Error (RMSE)",machine learning
What is the difference between a Type 1 and a Type 2 error?,"Type 1 error: Model predicts positive when it’s in fact false: a false positive
    
    Type 2 error: Model predicts negative when it’s in fact positive: a false negative",machine learning
What’s the difference between probability and likelihood?,"Probability corresponds to finding the chance of something given a sample distribution of the data, while on the other hand, Likelihood refers to finding the best distribution of the data given a particular value of some feature or some situation in the data.
    
    In essence, they are inverses of each other.
    
    Probability says: given a distribution what are the chances of this outcome.
    Likelihood says: given this outcome, what is the most likely distribution.",machine learning
What is deep learning?,Deep learning is a subset of machine learning that is based on artificial neural networks.,machine learning
What is gradient boosting?,"Gradient boosting is a machine learning technique used in regression and classification tasks. In boosting, each new tree is a fit on a modified version of the original data set. The idea is to improve upon the predictions of the first tree. We repeat this process for a specified number of iterations. Subsequent trees help us to classify observations that are not well classified by the previous trees. The accuracy of the model is calculated from gradients in the log loss function. The idea is to minimise the log loss function.
    
    Gradient Boosting trains many models in a gradual, additive and sequential manner.",machine learning
What is reinforcement learning?,"Reinforcement learning is the training of machine learning models to [make a sequence of decisions](https://blog.openai.com/openai gym beta/). The agent learns to achieve a goal in an uncertain, potentially complex environment. In reinforcement learning, an artificial intelligence faces a game like situation. The computer employs trial and error to come up with a solution to the problem. To get the machine to do what the programmer wants, the artificial intelligence gets either rewards or penalties for the actions it performs. Its goal is to maximise the total reward.",machine learning
What is more important: model accuracy or model performance?,"Well, it has everything to do with how model accuracy is only a subset of model performance, and at that, a sometimes misleading one.
    
    For example, if you wanted to detect fraud in a massive dataset with a sample of millions, a more accurate model would most likely predict no fraud at all if only a vast minority of cases were fraud. However, this would be useless for a predictive model—a model designed to find fraud that asserted there was no fraud at all!
    
    Accuracy is less useful as a metric of performance when the data is imbalanced!",machine learning
What is the F1 score?,F1 = 2 * (precision * recall)/ (precision + recall),machine learning
How would you handle an imbalanced dataset?,"1. Collect more data to even the imbalances in the dataset.
    2. Resample the dataset to correct for imbalances.
    3. Try a different algorithm altogether on your dataset.",machine learning
How do you ensure you’re not overfitting with a model?,"1. Keep the model simpler: reduce variance by taking into account fewer variables and parameters, thereby removing some of the noise in the training data.
    2. Use cross validation techniques such as k folds cross validation.
    3. Use regularization techniques such as LASSO that penalize certain model parameters if they’re likely to cause overfitting.",machine learning
What is logistic regression?,"It is a machine learning algorithm that is used for binary classification. The model creates a logistic function to separate data into two classes, using a chosen threshold.",machine learning
How would you evaluate a logistic regression model?,"1. F1 score
    2. ROC curve
    3. Confusion matrix",machine learning
What is a support vector machine?,"Support vector machines are supervised machine learning models, used for both linear and non linear classification of data. The non linear classificaition of data is achieved using the kernel trick.
    
    The support vectors are the data points near the boundaries that separate the data.",machine learning
What is the kernel trick?,Using a kernel function to create a support vector in a higher dimension,machine learning
"What is the difference between regression, classification, clustering and ranking?","Regression: A type of supervised learning. Given Xi independent variables can I predict Y dependent variable based on past observations. Is there a relationship between my independent variables and my dependent variable? variables types are typically numeric
    
    Eg. Price of a taxi fare as a function of the base rate and the miles driven.
    
    Classification: Supervised learning. Typically the dependent variable is categorical (eg. pass or fail). Given Xi values of an observation we want to predict Y. We are not trying to find a formula but instead a slicing that works best.
    
    Eg. Logistic regression, Decision Tree Classifier, Naive Bayes classifier, Neural Networks, Support Vector Machines
    
    Clustering: Unsupervised learning. There is no Y, we are using unlabelled data. We are effectively taking our Xi values and separating them into groups where the elements in each group are similar and different to the elements in other groups.
    
    Eg. Clustering users based on music taste
    
    Ranking: Used to rank  lists of items by giving each item a predicted ranking score.",machine learning
What metrics will you use to evaluate a regression problem?,"3 main metrics used:
    
    1. Mean Squared Error
    2. Root Mean Squared Error
    3. Mean Absolute Error",machine learning
What does it mean to have low MAE and high MSE?,"MSE is more sensitive to outliers than MAE, so perhaps having a high MSE means you have more outliers in your data.",machine learning
What metrics will you use to evaluate a classification model?,"There are a few:
    
    1. Precision: True positives / (True positives + False Positives)
    2. Recall (true positive rate, sensitivity): True positives / (True positives + False Negatives)
    3. Specificity (true negative rate) : True negatives / (True negatives + False Positives)
    4. AUC ROC: Plots the True positive rate against the true negative rate. The area under this ROC curve is a measure of performance of the classification model.
    5. F1 score: Harmonic mean between precision and recall   2* precision * recall / (precision + recall)
    6. Log loss: Using a logistic loss function, and finding which has the smallest loss function",machine learning
Why is accuracy a bad metric for classification?,"If classes are unbalanced, eg. in spam detection, you can achieve high accuracy by setting all predictions to the largest class.",machine learning
Can you describe a situation where precision is more important than recall and F score?,"For example, book recommendations. It’s far more important to get the predictions right (recommend books that you will like) than to include as many possible correct predictions (including many books that you may not like).",machine learning
Can you explain what is the area under ROC Curve (AUC ROC)?,The Area under the ROC curve provides a metric of performance for a classification algorithm,machine learning
Is AUC_ROC immune to data imbalance?,"No, it is sensitive to data imbalance. When there is a minority class, you typically define this as the positive class and it will have a strong impact on the AUC value.",machine learning
How will you measure the association/correlation between two numerical variables?,Pearson’s correlation,machine learning
How will you measure the association/correlation between two categorical variables?,Chi squared test,machine learning
How will you measure the association/correlation between one numerical variable and one categorical variable?,Logistic regression,machine learning
What are the data assumption to use Pearson correlation?,"    1. Level of Measurement: The two variables should be measure at the interval or ratio level
    2. Linear relationship: There should exist a linear relationship between the two variables
    3. Normality: Both variables should be roughly normally distributed.
    4. Related pairs: Each observation in the dataset should have a pair of values
    5. No outliers: There should be no extreme outliers in the dataset",machine learning
"If we have zero Pearson correlation, what does this imply?",A value of zero indicates that there is no relationship between the two variables.,machine learning
Can you explain how a decision tree works?,"21 Questions analogy: Decision tree classifier: Taking the data and trying to separate it at each node so that you can have two groups with as many data points belonging in one class in one of the groups, and similarly for the other group.",machine learning
Can you explain how logistic regression works? Why is it called regression despite being a classifier?,"Logistic regression is called regression because the underlying technique is similar, but instead of fitting a straight line you are fitting a sigmoid (logit) function. Essentially you are trying to find this logit function then setting a threshold, if the predicted probability is above a certain threshold then it belongs in one class and if it’s below then it belongs in the other class.",machine learning
What is cross validation and when is it important?,The goal of [cross validation](https://www.simplilearn.com/tutorials/machine learning tutorial/cross validation) is to term a data set to test the model in the training phase (i.e. validation data set) to limit problems like overfitting and gain insight into how the model will generalize to an independent data set.,machine learning
What is A/B Testing?,"This is statistical hypothesis testing for randomized experiments with two variables, A and B. The objective of [A/B testing](https://www.simplilearn.com/standard ab tests to run on your website article) is to detect any changes to a web page to maximize or increase the outcome of a strategy.",machine learning
Can you explain the curse of dimensionality?,"Dimensionality reduction refers to the process of converting a data set with vast dimensions into data with fewer dimensions (fields) to convey similar information concisely. Reduction in dimensions leads to faster processing of the data.
    
    Having lots of dimensions increases computation power.",machine learning
Can you explain how deep learning works?,"Input layer, hidden layers with nodes and weights, output layer
    
    Each node has an activation function that defines the output of a node given an input
    
    Randomly assign weights
    
    Back propagate to adjust weights so to reduce value of your loss function
    
    Optimises activation functions using a method called gradient descent",machine learning
What is gradient descent?,Gradient descent is an optimization algorithm used to find the values of parameters (coefficients) of a function (f) that minimizes a cost function (cost).,machine learning
How can you detect outliers?,"Identification of outlier values can be done by using univariate analysis, or some other graphical analysis method.",machine learning
What is the survival bias and why is it a problem?,"Survivorship bias is the logical error of focusing on aspects that support surviving a process and casually overlooking those that did not because of their lack of prominence. This can lead to wrong conclusions.
    
    Eg. returning WW2 aircrafts and where they were shot
    
    For example, if the top performing students at a university all went to the same school. It may be that the school was particularly large, doesn’t necessarily mean that school is a remarkably good school.",machine learning
"What is regularization, why is it important, what are the different types of regularization?","“Smoothing things out”
    
    Reduces overfitting
    
    1. Ridge regression: modifies the over fitted or under fitted models by adding the penalty equivalent to the sum of the squares of the magnitude of coefficients.
    2. Lasso regression: modifies the over fitted or under fitted models by adding the penalty equivalent to the sum of the absolute values of coefficients.",machine learning
What are sampling techniques you know?,"Sampling is the selection of individual members or a subset of the population to estimate the characters of the whole population.
    
    Random sampling: A sample is randomly selected from a population
    
    Cluster sampling: Divide your population into clusters then randomly select clusters to use as your sample
    
    Systematic sampling: Systematic sampling is a probability sampling method in which researchers select members of the population at a regular interval (or k) determined in advance.
    
    Stratified sampling: Stratification is the process of dividing members of the population into homogeneous subgroups before sampling.",machine learning
Does correlation imply causality?,"Nope! Ice cream and swimming pools example.
    
    If you look hard enough you will find correlations!",machine learning
What are the confounding variables?,"In research that investigates a potential cause and effect relationship, a confounding variable is an unmeasured third variable that influences both the supposed cause and the supposed effect.
    
    In the swimming pool death ice cream example: Summer is the confounding variable",machine learning
How do you handle missing values?,"If the data set is large, we can just simply remove the rows with missing data values. It is the quickest way; we use the rest of the data to predict the values.
    
    For smaller data sets, we can substitute missing values with the mean or average of the rest of the data using the pandas' data frame in python. There are different ways to do so, such as df.mean(), df.fillna(mean).",machine learning
"What is the difference between data science, data engineering and data analytics?","    Data Science: Gaining insights from data. It’s an umbrella term that covers data analytics, data engineering and machine learning as well.
    
    Data Engineering: Preparing data so it’s useable (usually by data scientists)
    
    Data Analytics: ****the process of examining data sets in order to find trends and draw conclusions about the information they contain. Eg. Looking at Dashboards",machine learning
What are some ways you can deal with missing values?,"    1. Drop rows with missing values
    2. Drop columns with missing values
    3. Replace with an average (Imputing)
    4. Leave it",machine learning
What is data normalisation?,Makes the data ranges consistent between variables: to make comparisons between features.,machine learning
What is machine learning?,"Machine learning is the subfield of computer science that gives ""computers the ability to learn without being explicitly programmed.",machine learning
What are some machine learning techniques?,"1. Regression/Estimation
    2. Classification
    3. Clustering
    4. Recommendation systems",machine learning
What is AI?,The study of intelligence demonstrated by machines. A large field with a wide scope. Machine learning is a subfield of AI.,machine learning
What is deep learning?,A machine learning method based on artificial neural networks.,machine learning
What are two types of supervised learning techniques?,"1. Regression
    2. Classification",machine learning
What is the difference between supervised and unsupervised learning?,Supervised learning deals with labeled data and unsupervised learning deals with unlabeled data.,machine learning
What is an example of a unsupervised machine learning technique?,Clustering,machine learning
When do we use regression?,When we want to predict a continuous variable.,machine learning
What are the two types of regression models?,"1. Simple Regression (two dimensions)
    2. Multiple Regression (more than two dimensions)",machine learning
What is the linearity of regression?,"The linearity of regression models depends on the relationships between variables.
    
    Eg. if the relationship between two variables is linear, we can use a simple linear regression model.
    
    If the relationship between two variables is non linear, we can use a simple non linear regression model.",machine learning
